timestamp,function_ran,n_threads_used,cpu_percent,memory_percent
2025-07-17T13:47:51.809291+00:00,fibonacci,2,0,10.4
2025-07-17T13:47:52.809740+00:00,fibonacci,2,14,10.4
2025-07-17T13:47:53.810226+00:00,fibonacci,2,9,10.4
2025-07-17T13:47:54.810839+00:00,fibonacci,2,1,10.4
2025-07-17T13:47:55.811533+00:00,fibonacci,2,4,10.4
2025-07-17T13:47:56.812115+00:00,fibonacci,2,0,10.5
2025-07-17T13:47:57.812965+00:00,fibonacci,2,0,10.5
2025-07-17T13:47:58.813925+00:00,fibonacci,3,6,10.5
2025-07-17T13:47:59.814529+00:00,fibonacci,3,19,10.6
2025-07-17T13:48:00.815137+00:00,fibonacci,3,12,10.5
2025-07-17T13:48:01.815806+00:00,fibonacci,3,0,10.5
2025-07-17T13:48:02.816885+00:00,fibonacci,3,0,10.5
2025-07-17T13:48:03.818026+00:00,fibonacci,3,0,10.5
2025-07-17T13:48:04.818847+00:00,fibonacci,3,1,10.5
2025-07-17T13:48:05.819325+00:00,fibonacci,4,8,10.5
2025-07-17T13:48:06.819915+00:00,fibonacci,4,27,10.6
2025-07-17T13:48:07.820400+00:00,fibonacci,4,15,10.5
2025-07-17T13:48:08.820919+00:00,fibonacci,4,0,10.5
2025-07-17T13:48:09.821512+00:00,fibonacci,4,1,10.5
2025-07-17T13:48:10.822085+00:00,fibonacci,4,0,10.5
2025-07-17T13:48:11.822770+00:00,fibonacci,4,1,10.5
2025-07-17T13:48:12.823381+00:00,fibonacci,5,12,10.6
2025-07-17T13:48:13.823901+00:00,fibonacci,5,33,10.6
2025-07-17T13:48:14.824718+00:00,fibonacci,5,18,10.5
2025-07-17T13:48:15.825271+00:00,fibonacci,5,1,10.5
2025-07-17T13:48:16.825806+00:00,fibonacci,5,1,10.5
2025-07-17T13:48:17.826424+00:00,fibonacci,5,0,10.5
2025-07-17T13:48:18.827036+00:00,fibonacci,5,0,10.5
2025-07-17T13:48:19.827595+00:00,fibonacci,6,14,10.7
2025-07-17T13:48:20.828207+00:00,fibonacci,6,39,10.7
2025-07-17T13:48:21.828870+00:00,fibonacci,6,30,10.6
2025-07-17T13:48:22.829566+00:00,fibonacci,6,0,10.6
2025-07-17T13:48:23.830497+00:00,fibonacci,6,1,10.6
2025-07-17T13:48:24.831766+00:00,fibonacci,6,0,10.6
2025-07-17T13:48:25.833169+00:00,fibonacci,6,1,10.6
2025-07-17T13:48:26.833880+00:00,fibonacci,7,6,10.7
2025-07-17T13:48:27.834579+00:00,fibonacci,7,45,10.7
2025-07-17T13:48:28.835298+00:00,fibonacci,7,44,10.7
2025-07-17T13:48:29.836111+00:00,fibonacci,7,3,10.6
2025-07-17T13:48:30.836657+00:00,fibonacci,7,1,10.6
2025-07-17T13:48:31.837209+00:00,fibonacci,7,1,10.6
2025-07-17T13:48:32.837735+00:00,fibonacci,7,0,10.6
2025-07-17T13:48:33.838502+00:00,fibonacci,7,0,10.6
2025-07-17T13:48:34.839650+00:00,fibonacci,8,40,10.7
2025-07-17T13:48:35.840402+00:00,fibonacci,8,51,10.7
2025-07-17T13:48:36.841146+00:00,fibonacci,8,16,10.5
2025-07-17T13:48:37.841898+00:00,fibonacci,8,1,10.6
2025-07-17T13:48:38.843082+00:00,fibonacci,8,0,10.6
2025-07-17T13:48:39.843770+00:00,fibonacci,8,1,10.6
2025-07-17T13:48:40.844467+00:00,fibonacci,8,0,10.6
2025-07-17T13:48:41.845482+00:00,fibonacci,9,32,10.7
2025-07-17T13:48:42.846069+00:00,fibonacci,9,58,10.7
2025-07-17T13:48:43.846674+00:00,fibonacci,9,41,10.6
2025-07-17T13:48:44.847239+00:00,fibonacci,9,0,10.6
2025-07-17T13:48:45.848379+00:00,fibonacci,9,1,10.6
2025-07-17T13:48:46.848891+00:00,fibonacci,9,0,10.6
2025-07-17T13:48:47.849362+00:00,fibonacci,9,1,10.6
2025-07-17T13:48:48.849947+00:00,fibonacci,10,7,10.7
2025-07-17T13:48:49.850556+00:00,fibonacci,10,64,10.8
2025-07-17T13:48:50.851129+00:00,fibonacci,10,64,10.8
2025-07-17T13:48:51.851746+00:00,fibonacci,10,16,10.6
2025-07-17T13:48:52.852422+00:00,fibonacci,10,0,10.6
2025-07-17T13:48:53.853254+00:00,fibonacci,10,1,10.6
2025-07-17T13:48:54.853878+00:00,fibonacci,10,0,10.6
2025-07-17T13:48:55.854962+00:00,fibonacci,10,0,10.6
2025-07-17T13:48:56.855885+00:00,fibonacci,11,38,10.8
2025-07-17T13:48:57.856373+00:00,fibonacci,11,70,10.9
2025-07-17T13:48:58.856908+00:00,fibonacci,11,64,10.7
2025-07-17T13:48:59.857592+00:00,fibonacci,11,2,10.6
2025-07-17T13:49:00.858401+00:00,fibonacci,11,1,10.6
2025-07-17T13:49:01.859560+00:00,fibonacci,11,0,10.6
2025-07-17T13:49:02.860232+00:00,fibonacci,11,1,10.6
2025-07-17T13:49:03.861422+00:00,fibonacci,11,0,10.6
2025-07-17T13:49:04.862463+00:00,fibonacci,12,60,10.9
2025-07-17T13:49:05.863034+00:00,fibonacci,12,76,10.9
2025-07-17T13:49:06.863596+00:00,fibonacci,12,63,10.7
2025-07-17T13:49:07.864173+00:00,fibonacci,12,1,10.7
2025-07-17T13:49:08.864891+00:00,fibonacci,12,0,10.6
2025-07-17T13:49:09.865560+00:00,fibonacci,12,0,10.6
2025-07-17T13:49:10.866118+00:00,fibonacci,12,1,10.6
2025-07-17T13:49:11.866941+00:00,fibonacci,12,0,10.6
2025-07-17T13:49:12.867371+00:00,fibonacci,13,71,10.9
2025-07-17T13:49:13.867830+00:00,fibonacci,13,82,10.9
2025-07-17T13:49:14.868503+00:00,fibonacci,13,72,10.7
2025-07-17T13:49:15.869293+00:00,fibonacci,13,2,10.6
2025-07-17T13:49:16.869853+00:00,fibonacci,13,1,10.6
2025-07-17T13:49:17.870388+00:00,fibonacci,13,0,10.6
2025-07-17T13:49:18.871214+00:00,fibonacci,13,0,10.6
2025-07-17T13:49:19.872504+00:00,fibonacci,13,0,10.6
2025-07-17T13:49:20.873442+00:00,fibonacci,14,64,10.9
2025-07-17T13:49:21.873974+00:00,fibonacci,14,88,10.9
2025-07-17T13:49:22.874538+00:00,fibonacci,14,88,11.0
2025-07-17T13:49:23.875282+00:00,fibonacci,14,17,10.7
2025-07-17T13:49:24.875918+00:00,fibonacci,14,1,10.7
2025-07-17T13:49:25.876500+00:00,fibonacci,14,0,10.6
2025-07-17T13:49:26.877114+00:00,fibonacci,14,0,10.6
2025-07-17T13:49:27.877982+00:00,fibonacci,14,0,10.6
2025-07-17T13:49:28.878503+00:00,fibonacci,15,32,11.0
2025-07-17T13:49:29.879023+00:00,fibonacci,15,94,11.0
2025-07-17T13:49:30.879619+00:00,fibonacci,15,95,11.0
2025-07-17T13:49:31.880244+00:00,fibonacci,15,81,10.8
2025-07-17T13:49:32.880783+00:00,fibonacci,15,4,10.6
2025-07-17T13:49:33.881462+00:00,fibonacci,15,0,10.6
2025-07-17T13:49:34.881979+00:00,fibonacci,15,0,10.6
2025-07-17T13:49:35.882473+00:00,fibonacci,15,0,10.6
2025-07-17T13:49:36.883039+00:00,fibonacci,15,1,10.6
2025-07-17T13:49:37.883742+00:00,fibonacci,16,58,11.0
2025-07-17T13:49:38.884256+00:00,fibonacci,16,100,11.0
2025-07-17T13:49:39.885013+00:00,fibonacci,16,100,11.1
2025-07-17T13:49:40.885644+00:00,fibonacci,16,77,10.8
2025-07-17T13:49:41.886277+00:00,fibonacci,16,3,10.7
2025-07-17T13:49:42.887107+00:00,fibonacci,16,0,10.7
2025-07-17T13:49:43.887696+00:00,fibonacci,16,0,10.7
2025-07-17T13:49:44.888386+00:00,fibonacci,16,0,10.6
2025-07-17T13:49:45.889171+00:00,fibonacci,16,0,10.6
